"Created Date","Changed Date",Name,Description,Keywords,Reference,Visible,Private,Schedule,Labels,"Marker Feeds",Category,"Marker Instance ID","Category ID","Marker ID",Latitude,Longitude
"2017-03-31 18:00:54","2017-05-12 15:39:38","Armory Computer Lab Rm 209","Armory Building Rm 209. Mac OS X Lab. 20 computers.Address1511 University AvenueNearest bus stopLocation: Broadway &amp; University AveRoutes: 204225/225D/225EDashSkip","ARMR 209",,1,0,,,,"Computer labs",193796,21001,136159,40.010868,-105.273956
"2017-03-31 18:00:59","2017-05-12 15:39:43","Armory Computer Lab Rm 211","Armory Building room 211. Mac OS X Lab. 20 computers.Address1511 University AvenueNearest bus stopLocation: Broadway &amp; University AveRoutes: 204225/225D/225EDashSkip","ARMR 211",,1,0,,,,"Computer labs",193797,21001,136160,40.010986,-105.273888
"2017-03-31 18:01:02","2017-06-29 15:56:44","Arnett Hall","Arnett Hall is located on the southeast edge of campus in the Kittredge Neighborhood. Global Studies RAP is located here and all residents must be participants of the program. Mostly freshman and sophomores with majors in arts and sciences live here. Head to nearby Kittredge Central to visit the Kittredge Market.Address2590 Kittredge Loop Rd.Nearest bus stopLocation: Regent Drive &amp; Broadway Routes: 209/209G: Baseline Road &amp; Broadway204225/225D/225E","ARNT,Global RAP,Dorm",,1,0,,,,Housing,193798,20810,136161,40.003273,-105.260811
"2017-03-31 18:01:06","2017-06-29 15:57:18","Athens Court","Athens Court is located on the north side of campus on Athens Street between 19th and 20th streets, just north of Bouler Creek. It offers furnished studio and unfurnished one- and two-bedroom apartments for a variety of graduate students with families, committed couples, single parents, and CU staff and faculty. Contact graduatefamilyhousing@colorado.edu for more information.Address  1855 Athens  Nearest bus stopLocation: Arapahoe Ave &amp; 16th St Routes:Jump","ATCT,Family Housing",,1,0,,,,Housing,193799,20810,136162,40.012188,-105.269600
"2017-03-31 18:01:11","2017-05-05 23:40:57","Athens North Court","Athens North Hall is located on the north side of central campus and features two bedroom/two bathroom apartments for up to five students to share and includes a full size kitchen in each unit. Mostly first-year freshmen with a variety of majors live here.Address1855 AthensNearest bus stopLocation: Arapahoe Ave &amp; 16th StRoutes: Jump","ATHN,family housing",,1,0,,,,Housing,193800,20810,136163,40.012936,-105.270874
"2017-03-31 18:01:15","2017-05-12 15:54:28","Athletics Practice Field","This field is north of the Dal Ward Athletic Center and Boulder Creek, and is used as a footbal practice field.Address1325 Folsom StreetNearest bus stopLocation: Folsom Street &amp; Taft Drive Routes: Hop: Arapahoe Ave &amp; 21st St.Jump","W-AP,practice field,football",,1,0,,,,"Athletics & Recreation",193801,2734,136164,40.012589,-105.266830
"2017-03-31 18:01:19","2017-05-12 15:39:29","ATLAS Computer Lab","ATLAS 3rd Floor. Mac OS X Lab. 8 computers.  Address  1125 18th Street, 320 UCB","ATLAS (Academic & Research Media Services)",,1,0,,,,"Computer labs",193802,21001,136165,40.007477,-105.269920
"2017-03-31 18:01:22","2017-06-29 15:56:39","Baker Hall","Baker Hall is centrally located on campus and is home to approximately 500 students. It is also home to the Baker Residential Academic &amp; Research Program, which emphasizes natural sciences and the environment for students in the College of Arts and Sciences. Participation in BRAP is mandatory for all Baker residents. This hall, which was reopened in 2014 after significant renovation, was just awarded LEED Platinum staus for it's sustainable design and functionality. Students in programs in either the College of Arts and Sciences or the College of Architecture and Planning live here. Many students are majoring in biology, environmental studies, geology, anthropology, and astronomy.Address2005 Baker Drive&yuml;Nearest bus stopLocation: 18th Street &amp; Euclid Ave Routes:  HopStampedeLocation: Colorado Ave &amp; Folsom Street Routes:  209/209GHopStampede",BKER,,1,0,,,,Housing,193803,20810,136166,40.006886,-105.267822
"2017-03-31 18:01:26","2017-06-29 15:56:35","Balch Fieldhouse","Balch Fieldhouse is a multi-purpose facility. The building covers 37,050 square feet and on Folsom Field football gamedays, Balch Fieldhouse serves the west side of the stadium as well as the premium Flatirons Club and Seats.  Balch is a beer garden for those 21 and over during the games.  It is attached to the six-level press box which features coaches boxes, radio and television booths and three levels of premium seating.Address1995 Colorado AvenueNearest bus stopLocation: Colorado Ave &amp; Folsom Street Routes: 209/209GHopStampede","FH,Football",,1,0,,,,"Athletics & Recreation",193804,2734,136167,40.009403,-105.268028
"2017-03-31 18:01:31","2017-06-22 18:57:52","Bear Creek Apartments at Williams Village","Bear Creek Apartments are the premier student housing in Boulder. This unique community was created to support students' Academic &amp; Research success. Offering services and amenities tailored to our student population and focusing on wellness and safety makes Bear Creek a perfect choice for CU Boulder students. Graduate, upper-division, and transfer students live here. Students can visit Village Market which sells items including school supplies, snacks, and basic necessities. Customers will also find selections that are natural and organic, locally sourced, and gluten-free, vegetarian and vegan. Students can also visit the Village Express, a quick-service restaurant, with take-out breakfast! It features a variety of freshly prepared food, including delicious hot entrees and sides, as well as made-to-order selections. And don't forget the salads, sandwiches and sushi prepared daily!Address3355 Apache DriveNearest bus stopLocation: Baseline Rd &amp; 30th St Routes: 225/225D/225E","BCAP,",,1,0,,,,Housing,193805,20810,136168,39.997204,-105.250175
"2017-03-31 18:01:35","2017-06-29 21:48:21","Benson Earth Sciences","Benson Earth Sciences contains a library, atrium, auditorium, and state-of-the-art laboratory classrooms. The library has material in geology, mineralogy, paleontology, atmospheric sciences, oceanography, physical geography, mineral deposits, and environmental sciences &amp; studies.Address2200 Colorado AvenueNearest bus stopLocation: Colorado Ave &amp; Folsom Street Routes: 209/209GHopStampede","BESC,library",,1,0,,,,"Academic & Research",193806,2732,136169,40.008076,-105.265984
"2017-03-31 18:01:39","2017-05-12 15:39:47","Benson Earth Sciences Computer Lab","Benson Earth Science Building Rm 385. Windows 7 Lab. 24 computers.  Address 2200 Colorado Avenue Nearest bus stopLocation: Colorado Ave &amp; Folsom Street Routes:209/209GHopStampede","BESC 385",,1,0,,,,"Computer labs",193807,21001,136170,40.007954,-105.265778
"2017-03-31 18:02:18","2017-06-29 21:48:16","Brackett Hall","Brackett Hall is centrally located on campus and is part of the Engineering Quadrangle Community. It is home to approximately 120 students. Participation in the Engineering Living &amp; Learning Community is mandatory for students who request and are assigned to Brackett Hall. Primarily freshmen majoring in engineering and applied sciences live here.Address2350 Libby DriveNearest bus stopLocation: Colorado Ave &amp; Folsom Street Routes:  209/209GHopStampede",BRKT,,1,0,,,,Housing,193808,20810,136171,40.006783,-105.266052
"2017-03-31 18:02:22","2017-06-29 15:56:20","Bruce Curtis Building (Museum Collections)","The Bruce Curtis Building Museum Collections contains collections, research, and teaching facilities.AddressCentral Campus Mall and Broadway Nearest bus stopLocation: Broadway &amp; Euclid Ave Routes:  204225/225D/225EABDashFF2GSSkip","MCOL, museum",,1,0,,,,"Performance & Museum Venues",193809,2733,136172,40.007618,-105.274178
"2017-03-31 18:02:26","2017-06-29 15:56:15","Buckingham Hall","Buckingham Hall is home to the Communication &amp; Society Residential Academic &amp; Research Program, located on the southeast edge of campus in the Kittredge Neighborhood. It houses approximately 200 students and is affiliated with the College of Media, Communication and Information (CMCI). All Buckingham Hall residents must be participants of the CommRAP. We welcome freshman, sophomores, juniors and seniors that recognize the importance of communication in any career, but particularly those in communication-related majors. Communication RAP is the only first-year program on campus affiliated with CMCI and our entire curriculum is offered in small, seminar-style courses. Head to nearby Kittredge Central to visit the Kittredge Market.Address2605 Kittredge Loop DriveNearest bus stopLocation: Regent Drive &amp; Broadway  Routes: 209/209G Location: Baseline Road &amp; Broadway Routes: 204 225/225D/225E",BUCK,,1,0,,,,Housing,193810,20810,136173,40.002354,-105.260742
"2017-03-31 18:02:30","2017-04-29 22:52:47","Business Field","Located just outside the Business school, the fields at Business will accommodate rugby, ultimate, and soccer fields.","Field,W-BF",,1,0,,,,"Athletics & Recreation",193811,2734,136174,40.005665,-105.262222
"2017-03-31 18:02:38","2017-05-12 15:41:04","Leeds School of Business Downstairs Library Computer Lab","Leeds School of Business Library Downstairs 1st floor. Windows 7 Lab. 29 computers. Address955 Regent DriveNearest bus stopLocation: Regent Drive &amp; Engineering DriveRoutes: 209/209G","KOBL 100B",,1,0,,,,"Computer labs",193813,21001,136176,40.006020,-105.263412
"2017-03-31 18:02:42","2017-05-12 15:41:17","Leeds School of Business Main Library Computer Lab","Leeds School of Business Main Library 2nd floor. Windows 7 Lab. 29 computers.Address955 Regent DriveNearest bus stopLocation: Regent Drive &amp; Engineering DriveRoutes: 209/209G","KOBL 200",,1,0,,,,"Computer labs",193814,21001,136177,40.005585,-105.263443
"2017-03-31 18:02:46","2017-05-12 15:41:00","Leeds School of Business Computer Lab Room 320","Leeds School of Business Third Floor Room 320. Windows 7 Lab. 29 computers.  Address  955 Regent Drive  Nearest bus stopLocation: Regent Drive &amp; Engineering Drive  Routes: 209/209G","KOBL 320",,1,0,,,,"Computer labs",193815,21001,136178,40.005829,-105.263412
"2017-03-31 18:02:50","2017-05-12 20:33:54","CU Book Store","The CU Book Store, owned and operated by the University of Colorado Boulder is the official store for CU merchandise. The CU Book Store offers a convenient place for students to prepare for classes with a large textbook department featuring rental, used and new textbooks as well as custom published materials and required course supplies. You can also find a full range of office products and school supplies to support your Academic &amp; Research and professional pursuits.Address1669 Euclid AvenueNearest bus stopLocation: Euclid Ave &amp; 18th Street Routes: 209/209GFlex HopStampede","UMC,bookstore",,1,0,,,,"Dining & Shopping",193816,20988,136179,40.007088,-105.271332
"2017-03-31 18:02:54","2017-06-09 16:51:25","CU Heritage Center","The CU Heritage Center is located on the 3rd Floor of Old Main on the CU Boulder campus.Address1600 Pleasant StreetNearest bus stopLocation: Broadway &amp; Pleasant Street Routes: 204225/225D/225EABDashGSSkip","MAIN,Museum,legos,rentals",,1,0,,,,"Performance & Museum Venues",193817,2733,136180,40.009346,-105.273422
"2017-03-31 18:02:58","2017-06-29 15:56:10","Carlson Gymnasium","The Carlson Gymnasium houses offices, research laboratories, and athletic and recreational facilities. This aesthetically pleasing building features an elegant set of steps and three arches topped by ""blind"" arches set into the stonework, and a soaring entrance hall which once displayed athletics trophies. Address1900 Pleasant StreetNearest bus stopLocation: Colorado Ave &amp; 18th St Routes: 209/209GHopStampede",CARL,,1,0,,,,"Athletics & Recreation",193818,2734,136181,40.009590,-105.268730
"2017-03-31 18:03:02","2017-06-29 15:57:09","Center for Astrophysics and Space Astronomy (CASA)","The Center for Astrophysics and Space Astronomy (CASA), an astronomy and astrophysics Center founded in 1985, is an affiliated unit within the structure of the Astrophysical and Planetary Sciences (APS) Department at the University of Colorado,Boulder. Other affiliated units at the University of Colorado are the Joint Institute for Laboratory Astrophysics (JILA) and theLaboratory for Atmospheric and Space Physics (LASP). The APS department offers an Academic &amp; Research program leading to the PhD degree in a variety of areas of astrophysics and planetary sciences.Address1235 38th StreetNearest bus stop:Location: Colorado Ave &amp; Innovation DriveRoutes:  Stampede2249 Willard Loop Drive",CASA,,1,0,,,,"Academic & Research",193819,2732,136182,40.008034,-105.246323
"2017-03-31 18:03:06","2017-06-29 15:55:53","Center for Community","The dynamic student center features centralized key student services and programs on the upper floors including Career Services, International Education, and Counseling and Psychological Services, among others. The center is home to the largest dining center on campus with the capacity to serve 900 people and the flexibility to host special events and meetings with an underground parking garage to support access.Address2249 Williard DriveNearest bus stopLocation: Regent Drive &amp; Broadway Route:209/209G DepartmentsCampus Card Services Career ServicesCultural Unity &amp; Engagement CenterCounseling and Psychiatric Services  Disability Services Gender and Sexuality Center Housing and Dining Services International EducationOmbuds OfficeParent relations Pre-Collegiate OutreachStudent Affairs University of Colorado Foundation - Campus ProgramsOffice of Veterans Services Victim Assistance",C4C,,1,0,,,,"Administrative Offices",193820,20986,136183,40.004375,-105.264969
"2017-03-31 18:03:10","2017-06-29 15:55:44","Champion Center","The Champion Center is the home of Colorado Athletics administration, football program, Olympic sports, the CU Sports Medicine and Performance Center, the Champions Club, Rooftop Terrace and more. Departments and Services  CU Sports Medicine and Performance Center (open to public)Sports Medicine: hydrotherapy, treatment and taping spaces, doctors and trainers offices, exam rooms, rehabilitation space and x-ray roomStrength Training: New weight room with large, open training area, cardiovascular equipment and staff offices. The weight room opens directly into the Indoor Practice Facility for expanded training capabilities.Conference and Meeting RoomsFootball Team Locker Room with Team LoungeFootball Equipment RoomCoaching and Administrative OfficeSuites TeamDining FacilitiesRooftop Terrace for game day and special events",,,1,0,,,,"Athletics & Recreation",193821,2734,136184,40.010487,-105.265991
"2017-03-31 18:03:14","2017-06-29 15:55:48","Chancellor's Residence","This is home to the Chancellor of CU Boulder, and located in the Williams Village neighborhood.&yuml;  Address&yuml;&yuml; 3600 Caddo Parkway&yuml;",,,1,0,,,,Housing,193822,20810,136185,39.996029,-105.247475
"2017-03-31 18:03:18","2017-06-29 15:55:34","Cheyenne Arapaho Hall","Located on central campus, Cheyenne Arapaho Hall houses approximately 400 students and is home to the Leeds Residential Academic &amp; Research Program. Leeds RAP is a program exclusively for the Leeds School of Business and serves as an accelerator for students' Academic &amp; Research, professional and social engagement at CU. Students with majors in the Leeds School of Business, and that are participating in the Leeds RAP live here. There is also space designated specifically for students with majors in the College of Music.Address960 Green Mountain StreetNearest bus stopLocation: Broadway &amp; Regent Drive  Routes:  204225/225D/225EDashGSSkip","CHEY,Leeds RAP",,1,0,,,,Housing,193823,20810,136186,40.005295,-105.267822
"2017-03-31 18:03:22","2017-06-29 15:55:25","Clare Small Arts and Sciences","The Clare Small Arts and Sciences Building houses the Department of Integrative Physiology and the CU Museum Herbarium (located in the basement) which houses nearly 500,000 plant specimens collected from mountain and high desert habitats worldwide.Address1725 Pleasant StreetNearest bus stop Location: Colorado Ave &amp; Folsom St. Routes:  209/209GHopStampedeDepartmentsIntegrative Physiology",CLRE,,1,0,,,,"Academic & Research",193824,2732,136187,40.010616,-105.270218
"2017-03-31 18:03:26","2017-05-12 15:39:52","Clare Small Computer Lab","Clare Small Arts and Sciences Building Rm 111. Mac OS X Lab. 36 computers.  Address  1725 Pleasant Street  Nearest bus  stopLocation: Colorado Ave &amp; Folsom St. Routes: 209/209GHopStampedeDepartments Department of Integrative PhysiologyArts and Sciences","CLRE 111",,1,0,,,,"Computer labs",193825,21001,136188,40.010498,-105.270020
"2017-03-31 18:04:05","2017-06-29 14:53:04","Cockerell Hall","Cockerell Hall is part of the centrally located Engineering Quadrangle Community, and is home to approximately 140 students. Participation in the Engineering Living &amp; Learning Community is mandatory for students who request and are assigned to Cockerell Hall. Primarily freshmen majoring in engineering and applied science live here.Address2370 Libby DriveNearest bus stopLocation: Colorado Ave &amp; Folsom St. Routes: 209/209GHopStampede",CKRL,,1,0,,,,Housing,193826,20810,136189,40.007107,-105.266045
"2017-03-31 18:04:08","2017-06-29 15:55:20","Computing Center","This building houses OIT offices on East Campus. This building serves as the main data center for campus.Address 3645 Marine StreetNearest bus stopLocation: Arapahoe Ave &amp; Foothills Parkway Routes:  JJumpStampedeDepartmentOffice of Information Technology","COMP,data center",,1,0,,,,"Administrative Offices",193827,20986,136190,40.014065,-105.247253
"2017-03-31 18:04:12","2017-06-29 15:55:15","Continuing Education","The mission of the Division of Continuing Education is to provide quality, innovative lifelong learning opportunities to a diverse student population by extending the educational resources of the University of Colorado Boulder.Address1505 University Avenue  Nearest bus stopLocation: Broadway &amp; University Ave  Routes: 204225/225D/225EDashSkipDepartmentDivision of Continuing Education","CEDU,professional development",,1,0,,,,"Academic & Research",193828,2732,136191,40.010807,-105.274437
"2017-03-31 18:04:16","2017-06-29 15:55:30","Cooperative Institute for Research in Environmental Sciences (CIRES)","At CIRES, the Cooperative Institute for Research In Environmental Sciences, hundreds of environmental scientists work to understand the dynamic Earth system, including people?s relationship with the planet. CIRES is a partnership of NOAA and the University of Colorado Boulder, and our areas of expertise include weather and climate, changes at Earth?s poles, air quality and atmospheric chemistry, water resources, and solid Earth sciences.Address1665 Central Campus Mall",CIRE,,1,0,,,,"Academic & Research",193829,2732,136192,40.007710,-105.271629
"2017-03-31 18:04:24","2017-06-29 14:51:42","Cristol Chemistry and Biochemistry","The Department of Chemistry and Biochemistry is recognized internationally for its outstanding record in research, graduate education, and classroom teaching. The faculty, staff, and students are dedicated to ensuring its continuing vitality and scientific leadership.Address1606 Central Campus MallNearest bus stop Location: 18th Street &amp; Euclid Ave Routes:  Hop JStampede",CHEM,,1,0,,,,"Academic & Research",193831,2732,136194,40.007343,-105.271111
"2017-03-31 18:04:28","2017-06-29 14:51:14","Crosman Hall","Crosman Hall is located centrally on campus and is part of the Engineering Quandrangle Community. Approximately 146 students live in the building. Participation in the Engineering Living &amp; Learning Community is mandatory for students who request and are assigned to Crosman Hall. Primarily freshmen majoring in engineering and applied sciences live here.Address1015 Cockerell DriveNearest bus stopLocation: Colorado Ave &amp; Folsom St. Routes: 209/209GHopStampede",CROS,,1,0,,,,Housing,193832,20810,136195,40.006893,-105.264481
"2017-03-31 18:04:32","2017-06-29 14:44:32","Dal Ward Athletic Center","The Dal Ward Center is 92,000 square feet that received upgrades in 2015-16, and is the home to the Herbst Academic &amp; Research Center, which provides second-to-none Academic &amp; Research support to all of Colorado's student-athletes. Dal Ward is the home of the Leadership Development Department, which helps Buffs athletes get on track with leadership skills, professional development and many more career services and life skills important to their future beyond their time in a Colorado uniform.  CU's Olympic Sports weight room and training room are housed in Dal Ward, as well as a full-service kitchen and dining area.  Individual team lockerrooms for men's golf, track &amp; field, cross country and skiing are housed in Dal Ward, along with lockerrooms for the  women?s soccer, skiing, track &amp; field, cross country, golf and tennis programs.  It also plays host to the Touchdown Club Room and the Touchdown Loge Boxes and Club Seats during football season.Address2100 Stadium Drive  Nearest bus stopLocation: Colorado Ave &amp; Folsom St. Routes: 209/209GHopStampedeDepartments Leadership Development DepartmentHerbst Academic &amp; Research Center","DALW,touchdown club room,club seats,herbst Academic & Research center,leadership development department,",,1,0,,,,"Athletics & Recreation",193833,2734,136196,40.010555,-105.266937
"2017-03-31 18:04:36","2017-06-28 18:45:03","Dalton Trumbo Fountain Court","The Dalton Trumbo Fountain Area is named for screenwriter and free-speech advocate Dalton Trumbo, who attended CU for two years before leaving to pursue his career as a writer. The fountain is a popular gathering place for student groups to gather and express their views, run through the fountains, or enjoy lunch on a sunny day.",W-TF,,1,0,,,,"Dining & Shopping",193834,20988,136197,40.007294,-105.271675
"2017-03-31 18:04:41","2017-06-28 18:44:53","The Village Center Dining and Community Commons","The new  Village Center Dining and Community Commons replaced the old Darley Commons in early 2017. The Village Center Dining and Community Commons serves as the hub of activity for the Williams Village Neighborhood and will house a number of services and features for our students. Some of these include:     State-of-the-art dining center, showcasing local and regional foods Late-night Grotto Cafe Indoor and outdoor seating Large divisible multipurpose room with separate break-out rooms Tutoring office suite Study and lounge areas Wardenburg Health Center Annex  Address500 30th Street  Nearest bus stopLocation: Baseline Rd. &amp; 30th St  Routes: 225/225D/225E",,,1,0,,,,"Dining & Shopping",193835,20988,136198,39.997772,-105.251831
"2017-03-31 18:04:45","2017-06-29 14:44:28","Darley North","Darley North is located on the edge of campus and is part of the Williams Village neighborhood. It houses approximately 320 students and features air conditioned rooms, on-site dining, and close proximity to the recreation center annex. Darley apartments are not equipped with microwaves. The Active Living &amp; Learning Community is an integral part of this community.  Address500 30th StreetNearest bus stopLocation: Baseline Rd. &amp; 30th St  Routes: 225/225D/225E",DLYT,,1,0,,,,Housing,193836,20810,136199,39.998569,-105.252251
"2017-03-31 18:04:49","2017-06-29 14:44:23","Darly South","Darley South houses approximately 200 students and features air conditioned rooms, on-site dining, and close proximity to the recreation center annex. Darley apartments are not equipped with microwaves. It is part of the Williams Village neighborhood.Address  500 30th Street  Nearest bus stopLocation: Baseline Rd. &amp; 30th St  Routes:225/225D/225E",DLYT,,1,0,,,,Housing,193837,20810,136200,39.998199,-105.252403
"2017-03-31 18:04:53","2017-06-29 14:44:18","Denison Arts and Sciences","Built in 1912, Denison's east side was left with a temporary exterior facing of red brick while the other three sides were finished with white brick and terra cotta trim. The building houses offices for arts and sciences faculty.Nearest bus stopLocation: Broadway &amp; Euclid Ave Routes:  204225/225D/225EABDashFF1FF2FF5GSSkip","DEN,Faculty offices",,1,0,,,,"Academic & Research",193838,2732,136201,40.007030,-105.273392
"2017-03-31 18:04:56","2017-06-29 14:44:13","Discovery Learning Center","The Discovery Learning Program at the University of Colorado Boulder brings together engineering students, faculty, government and business partners to advance research and education across traditional boundaries.Address1095 Regent DriveNearest bus stopLocation: Colorado Ave &amp; 28th Street Nearside Routes:  209/209GJStampedeDepartmentDiscovery Learning Center","DLC,Engineering",,1,0,,,,"Academic & Research",193839,2732,136202,40.007652,-105.261810
"2017-03-31 18:05:00","2017-06-28 19:13:56","Duane D-Wing","The LASP Space Sciences Building is located on the University of Colorado's main Boulder Campus in the D Wing of the Duane Physics building. Home for LASP since 1965, Duane houses a small number of LASP research faculty.Address2000 Colorado AvenueNearest bus stop Location: Colorado Ave &amp; Folsom St. Routes: 209/209GHopJStampedeDepartmentPhysics",DDW,,1,0,,,,"Academic & Research",193840,2732,136203,40.008022,-105.267349
"2017-03-31 18:05:04","2017-06-28 19:14:06","Duane Physics and Astrophysics","Duane Physics houses the LASP (Laboratory for Atmospheric and Space Physics), classrooms, research facilities, lecture halls, and offices.Address2000 Colorado AvenueNearest bus stopLocation: Colorado Ave &amp; Folsom St. Routes:  209/209GHopJ Stampede","DUAN,physics",,1,0,,,,"Academic & Research",193841,2732,136204,40.008015,-105.268227
"2017-03-31 18:05:08","2017-05-12 15:39:57","Duane Physics Computer Lab","Duane Physics G116. Windows 7 Lab. 24 computers.   Address  2000 Colorado Avenue  Nearest bus stopLocation: Colorado Ave &amp; Folsom St. Routes:209/209GHopStampede","DUAN G116",,1,0,,,,"Computer labs",193842,21001,136205,40.008305,-105.267822
"2017-03-31 18:05:17","2017-06-29 14:44:09",Economics,"Home to the Department of Economics, this architecturally beautiful building was originally built in 1930 to memorialize CU alumni killed in World War I. The building features monumental doors, and originally housed a ballroom on the second floor, which has since been divided to provide additional classroom and office space.Address1445 Central Campus MallNearest bus stopLocation: Broadway &amp; Euclid Ave Routes: 204225/225D/225EABDashFF1FF2FF5GSSkip",ECON,,1,0,,,,"Academic & Research",193844,2732,136207,40.007935,-105.274513
"2017-03-31 18:05:21","2017-03-31 18:05:21","Civil Engineering Wing Computer Lab; CadLab","Civil Engineering Wing, ECCE 141. Windows 7 Lab. 48 computers.","ECCE 141",,1,0,,,,"Computer labs",193845,21001,136208,40.006985,-105.262802
"2017-03-31 18:05:25","2017-03-31 18:05:25","Engineering Center Civil Engineering Computer Lab; Lueng Soils","Engineering Center Civil Engineering 152. Linux Lab. 12 computers.","ECCE 152",,1,0,,,,"Computer labs",193846,21001,136209,40.007591,-105.263359
"2017-03-31 18:05:29","2017-03-31 18:05:29","Engineering Computer Lab; APPM","Engineering ECCR 143. Windows 7 Lab. 26 computers.","ECCR 143",,1,0,,,,"Computer labs",193847,21001,136210,40.006622,-105.263657
"2017-03-31 18:05:33","2017-03-31 18:05:33","Engineering PC Labs","2nd floor Engineering PC labs. Windows 7 Lab. 77 computers.","ECCRNAC 252, 235, 239",,1,0,,,,"Computer labs",193848,21001,136211,40.006981,-105.263489
"2017-03-31 18:05:36","2017-03-31 18:05:36","Environmental Sustainability Wing Computer Lab","Environmental Sustainability Wing, ECES 107. Windows 7 Lab. 27 computers.","ECES 107",,1,0,,,,"Computer labs",193849,21001,136212,40.006660,-105.263229
